Date,Financials,Resources,Industrials,Consumer Goods
2020-04-06,24244.359375,27768.439453125,23451.130859375,54640.37890625
2020-04-07,25444.689453125,28948.19921875,24859.109375,55512.16015625
2020-04-08,24694.55078125,28368.859375,25145.630859375,54920.33984375
2020-04-09,26077.240234375,29389.5703125,26433.970703125,54853.37890625
2020-04-14,26824.33984375,31413.6796875,27912.9296875,56921.828125
2020-04-15,25198.130859375,29942.66015625,26104.1796875,56391.9296875
2020-04-16,24525.30078125,29635.880859375,25271.83984375,55920.51953125
2020-04-17,25014.359375,30551.880859375,25233.75,57699.5390625
2020-04-20,24625.01953125,30427.609375,24778.380859375,57496.96875
2020-04-21,24125.9609375,29076.880859375,24256.830078125,56369.12890625
2020-04-22,23863.400390625,29963.7890625,23995.400390625,55462.55078125
2020-04-23,24251.720703125,31850.650390625,24226.490234375,56582.5390625
2020-04-24,24370.0,31980.80078125,24314.029296875,55694.4296875
2020-04-28,24788.439453125,31597.4296875,24818.310546875,57772.19140625
2020-04-29,25718.310546875,32666.859375,25961.2890625,57761.51171875
2020-04-30,25755.330078125,32032.310546875,25609.759765625,56982.76171875
2020-05-04,24678.240234375,31349.080078125,24675.33984375,55544.609375
2020-05-05,25101.5703125,30846.73046875,25394.439453125,55215.9296875
2020-05-06,24809.259765625,31704.94921875,25094.099609375,56251.98046875
2020-05-07,25054.6796875,31950.330078125,25417.26953125,56174.421875
2020-05-08,25415.05078125,32795.5703125,25453.4296875,57114.12890625
2020-05-11,24521.080078125,31174.349609375,25258.5,56977.671875
2020-05-12,24178.490234375,31514.619140625,25358.740234375,57122.9609375
2020-05-13,23815.619140625,30965.369140625,24881.41015625,55357.01953125
2020-05-14,22759.76953125,30833.2109375,24098.4296875,54323.78125
2020-05-15,22993.310546875,32259.30078125,24141.720703125,53947.87109375
2020-05-18,23629.009765625,34382.53125,24541.830078125,55442.03125
2020-05-19,24223.58984375,34616.37890625,25177.44921875,55080.671875
2020-05-20,24305.099609375,34429.30078125,25190.83984375,54791.16015625
2020-05-21,24634.599609375,33120.859375,25364.5390625,53826.26171875
2020-05-22,24212.51953125,32726.060546875,24909.2109375,52296.62890625
2020-05-25,23857.509765625,32954.828125,24828.69921875,53247.21875
2020-05-26,25028.48046875,32655.009765625,25566.51953125,54152.76171875
2020-05-27,25124.5703125,32673.119140625,25917.05078125,54517.66015625
2020-05-28,25537.279296875,33849.0703125,26602.4296875,56013.5703125
2020-05-29,24914.119140625,33797.96875,26109.880859375,55442.390625
2020-06-01,24845.740234375,34137.5,25696.8203125,55879.94140625
2020-06-02,26046.23046875,35262.6015625,26603.2109375,56642.8984375
2020-06-03,28071.6796875,35039.890625,28065.75,57919.3203125
2020-06-04,27933.169921875,34947.9609375,27740.439453125,57610.51953125
2020-06-05,29160.279296875,35765.98046875,29943.73046875,60057.66015625
2020-06-08,28853.529296875,36279.828125,29723.099609375,59835.48828125
2020-06-09,28751.76953125,36186.55859375,29632.4609375,59229.3203125
2020-06-10,27926.630859375,35201.69140625,28651.470703125,58827.1796875
2020-06-11,27391.580078125,35261.12890625,28002.400390625,57508.62890625
2020-06-12,27625.58984375,35420.3515625,27825.119140625,57933.41015625
2020-06-15,26996.380859375,34334.19140625,27683.7890625,57057.609375
2020-06-17,27665.859375,35331.6015625,27667.109375,57505.0703125
2020-06-18,27100.060546875,35139.140625,26869.580078125,58191.12890625
2020-06-19,27230.98046875,35651.55859375,27149.19921875,58993.2109375
2020-06-22,26596.5,35797.30078125,26988.669921875,58081.01953125
2020-06-23,26423.369140625,37230.41015625,26656.279296875,59667.37890625
2020-06-24,26138.720703125,36336.0,27227.9609375,58781.96875
2020-06-25,26237.30078125,36161.78125,26477.6796875,57564.30078125
2020-06-26,25752.529296875,35947.03125,26315.73046875,57884.80078125
2020-06-29,26109.9609375,36425.01953125,26558.990234375,58193.23046875
2020-06-30,25942.859375,36776.48046875,25716.369140625,58187.71875
2020-07-01,25865.08984375,35875.671875,25261.98046875,57489.48828125
2020-07-02,26412.279296875,36476.55859375,26060.759765625,58035.23828125
2020-07-03,26364.91015625,36047.640625,25893.9609375,58450.578125
2020-07-06,26323.26953125,36792.05859375,25735.5390625,59118.1484375
2020-07-07,26178.810546875,37429.5,25579.560546875,60022.03125
2020-07-08,26519.419921875,38015.6484375,25562.029296875,59026.2109375
2020-07-09,26627.240234375,37845.16015625,25470.3203125,57932.359375
2020-07-10,26905.2890625,37781.16015625,25430.23046875,57738.21875
2020-07-13,27425.0,38428.4609375,26399.390625,57803.94921875
2020-07-14,27028.009765625,38342.7109375,25990.640625,57666.3203125
2020-07-15,27050.3203125,38706.80078125,26288.05078125,58071.08984375
2020-07-16,27480.900390625,38796.26171875,26170.3203125,55941.19921875
2020-07-17,27234.0703125,39330.37890625,25818.150390625,55856.12890625
2020-07-20,27227.189453125,39951.71875,26025.25,55638.8984375
2020-07-21,27376.380859375,39296.94140625,26211.58984375,55112.1796875
2020-07-22,27225.060546875,39087.23828125,25842.51953125,54413.1015625
2020-07-23,26659.880859375,39836.48046875,25589.859375,55049.19140625
2020-07-24,26393.4296875,40084.2890625,25466.51953125,55081.1796875
2020-07-27,26538.55078125,41326.26171875,25361.7890625,54929.44140625
2020-07-28,27007.380859375,41141.98828125,25545.349609375,54536.08984375
2020-07-29,27506.390625,40759.28125,26082.23046875,54681.87109375
2020-07-30,26678.7890625,39988.2890625,25766.029296875,55115.5
2020-07-31,26036.91015625,40104.98828125,25030.529296875,55121.12109375
2020-08-03,25220.4296875,40780.69921875,24300.240234375,54805.87890625
2020-08-04,25387.55078125,41322.21875,25152.19921875,55641.01953125
2020-08-05,25572.779296875,43114.94140625,25601.91015625,55815.01953125
2020-08-06,25455.98046875,43249.05859375,25401.30078125,56325.69921875
2020-08-07,25449.150390625,42422.6796875,25792.900390625,56418.0390625
2020-08-11,26081.619140625,42177.01171875,26217.0390625,58305.37890625
2020-08-12,25862.4609375,42393.0,26207.0390625,58174.44140625
2020-08-13,26118.109375,42482.80859375,26184.130859375,58701.9609375
2020-08-14,25964.80078125,42342.078125,25993.7109375,58085.76953125
2020-08-17,25512.23046875,43282.83984375,25706.109375,58671.05859375
2020-08-18,25894.859375,42479.44921875,26041.48046875,58132.30859375
2020-08-19,25934.240234375,41763.6796875,26650.26953125,57625.44140625
2020-08-20,25428.240234375,40998.9296875,26147.25,57266.94140625
2020-08-21,26033.1796875,40593.48828125,26470.4296875,56329.5
2020-08-24,26619.51953125,40792.4609375,27029.5390625,57044.44140625
2020-08-25,26570.009765625,39769.8984375,26958.01953125,56482.37890625
2020-08-26,26261.240234375,40246.9296875,26435.5703125,56755.3515625
2020-08-27,26321.73046875,40133.7109375,26239.830078125,57456.671875
2020-08-28,25817.640625,40215.1796875,26109.669921875,56308.19140625
2020-08-31,24929.119140625,40179.30078125,25526.08984375,57172.48828125
2020-09-01,25474.580078125,40331.69921875,26026.849609375,56321.80859375
2020-09-02,24853.9609375,40153.87890625,25665.490234375,57946.23046875
2020-09-03,24322.2890625,38985.91015625,25645.779296875,57919.05859375
2020-09-04,24302.880859375,39112.421875,25166.109375,56685.3203125
2020-09-07,24413.650390625,40000.421875,25156.5390625,57877.30078125
2020-09-08,24987.5703125,39556.41015625,25770.009765625,57685.94921875
2020-09-09,26192.529296875,39763.30078125,26938.5390625,57086.9609375
2020-09-10,26350.08984375,40154.2109375,26956.099609375,59209.55078125
2020-09-11,25878.630859375,40598.96875,26336.720703125,60106.1484375
2020-09-14,25784.3203125,40895.7109375,26948.099609375,60897.98046875
2020-09-15,25582.9296875,40872.05859375,26581.6796875,60484.37890625
2020-09-16,25617.029296875,40918.4296875,26888.080078125,59389.640625
2020-09-17,25566.529296875,39660.6015625,26692.919921875,58505.4609375
2020-09-18,25072.66015625,39852.66015625,26303.0390625,57362.4609375
2020-09-21,24315.080078125,38778.37890625,25523.689453125,56981.16015625
2020-09-22,24353.330078125,38074.33984375,25367.630859375,56842.28125
2020-09-23,24413.5703125,38437.109375,25189.8203125,58222.91015625
2020-09-25,23904.220703125,38381.87109375,24873.099609375,57619.078125
2020-09-28,25127.259765625,39023.44140625,25464.609375,58874.75
2020-09-29,25294.810546875,38863.51171875,25543.0390625,58300.75
2020-09-30,25474.900390625,38375.94140625,25758.099609375,57517.0703125
2020-10-01,25726.5703125,38144.1015625,26359.0390625,57534.2890625
2020-10-02,26108.150390625,37867.05859375,26822.609375,55768.78125
2020-10-05,25801.80078125,38163.48046875,26504.8203125,57429.1796875
2020-10-06,25551.83984375,37741.66015625,26203.009765625,57235.41015625
2020-10-07,25705.720703125,38235.078125,26442.58984375,57753.69921875
2020-10-08,25518.619140625,38358.3203125,26884.140625,57591.0390625
2020-10-09,25205.830078125,39343.12109375,26633.58984375,57686.421875
2020-10-12,25473.830078125,39460.0703125,26559.669921875,58227.94140625
2020-10-13,24855.7109375,38909.26171875,26008.109375,57996.23828125
2020-10-14,24766.720703125,39482.46875,25949.220703125,57772.55859375
2020-10-15,24914.859375,38961.03125,25925.4296875,56649.8203125
2020-10-16,24656.669921875,39050.73046875,25789.5,57720.76953125
